Geography,Cases,Rate per 100000
Alabama,90,1.7
Alaska,94,12.7
Arizona,210,2.8
Arkansas,119,3.9
California,"2,100",5.3
Colorado,78,1.3
Connecticut,87,2.4
Delaware,24,2.3
District of Columbia,32,4.6
Florida,681,2.9
Georgia,253,2.3
Hawaii,117,8.1
Idaho,22,1.1
Illinois,353,2.8
Indiana,136,2
Iowa,47,1.4
Kansas,115,3.9
Kentucky,92,2
Louisiana,115,2.5
Maine,39,2.8
Maryland,219,3.5
Massachusetts,252,3.5
Michigan,165,1.6
Minnesota,195,3.4
Mississippi,49,1.7
Missouri,85,1.4
Montana,6,0.5
Nebraska,41,2
Nevada,75,2.3
New Hampshire,12,0.9
New Jersey,342,3.6
New Mexico,41,1.9
New York,"1,083",5.5
North Carolina,250,2.3
North Dakota,11,1.4
Ohio,198,1.7
Oklahoma,64,1.6
Oregon,87,2
Pennsylvania,228,1.7
Rhode Island,24,2.2
South Carolina,83,1.5
South Dakota,12,1.3
Tennessee,164,2.3
Texas,"1,238",4
Utah,51,1.5
Vermont,4,0.6
Virginia,225,2.6
Washington,257,3.2
West Virginia,8,0.5
Wisconsin,70,1.2
Wyoming,4,0.7
